name,author,genre,times_on_list,mean_price,mean_rating,mean_reviews
10-Day Green Smoothie Cleanse,JJ Smith,Non Fiction,1,8.0,4.7,17350.0
11/22/63: A Novel,Stephen King,Fiction,1,22.0,4.6,2052.0
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Non Fiction,1,15.0,4.7,18979.0
1984 (Signet Classics),George Orwell,Fiction,1,6.0,4.7,21424.0
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,Non Fiction,1,12.0,4.8,7665.0
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,Fiction,1,11.0,4.4,12643.0
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Fiction,1,30.0,4.7,19735.0
A Gentleman in Moscow: A Novel,Amor Towles,Fiction,1,15.0,4.7,19699.0
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,Non Fiction,1,3.0,4.7,5983.0
A Man Called Ove: A Novel,Fredrik Backman,Fiction,2,8.0,4.6,23848.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,Non Fiction,1,2.0,4.6,460.0
A Stolen Life: A Memoir,Jaycee Dugard,Non Fiction,1,32.0,4.6,4149.0
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,Fiction,1,5.0,4.5,5153.0
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,Non Fiction,1,17.0,4.6,5013.0
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,Non Fiction,1,4.0,4.5,2313.0
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,Non Fiction,1,6.0,4.6,2925.0
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,Non Fiction,1,6.0,4.4,2951.0
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,Non Fiction,1,8.0,4.5,2426.0
Alexander Hamilton,Ron Chernow,Non Fiction,1,13.0,4.8,9198.0
All the Light We Cannot See,Anthony Doerr,Fiction,2,14.0,4.6,36348.0
Allegiant,Veronica Roth,Fiction,1,13.0,3.9,6310.0
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Non Fiction,1,9.0,4.6,15921.0
And the Mountains Echoed,Khaled Hosseini,Fiction,1,13.0,4.3,12159.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,Non Fiction,1,5.0,4.6,798.0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Non Fiction,1,9.0,4.7,9374.0
"Autobiography of Mark Twain, Vol. 1",Mark Twain,Non Fiction,1,14.0,4.2,491.0
Baby Touch and Feel: Animals,DK,Non Fiction,1,5.0,4.6,5360.0
Balance (Angie's Extreme Stress Menders),Angie Grace,Non Fiction,1,11.0,4.6,1909.0
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,Non Fiction,1,24.0,4.8,1296.0
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,Non Fiction,1,21.0,4.7,615.0
Becoming,Michelle Obama,Non Fiction,2,11.0,4.8,61133.0
Being Mortal: Medicine and What Matters in the End,Atul Gawande,Non Fiction,1,15.0,4.8,11113.0
Between the World and Me,Ta-Nehisi Coates,Non Fiction,2,13.0,4.7,10070.0
Born to Run,Bruce Springsteen,Non Fiction,1,18.0,4.7,3729.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Fiction,1,13.0,4.6,9769.0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,Non Fiction,1,8.0,4.5,471.0
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Fiction,2,5.0,4.9,14344.0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,Fiction,1,0.0,4.8,4505.0
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,Non Fiction,1,4.0,4.6,10369.0
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,Non Fiction,1,18.0,4.8,16244.0
Capital in the Twenty First Century,Thomas Piketty,Non Fiction,1,28.0,4.5,2884.0
Catching Fire (The Hunger Games),Suzanne Collins,Fiction,3,11.0,4.7,22614.0
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,Non Fiction,1,16.0,4.7,4761.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Non Fiction,3,14.0,4.7,1542.0
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,Fiction,1,8.0,4.3,6143.0
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,Non Fiction,1,4.0,4.8,4022.0
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,Non Fiction,1,5.0,4.8,3871.0
Cutting for Stone,Abraham Verghese,Fiction,2,11.0,4.6,4866.0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,Non Fiction,1,10.0,4.8,1329.0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Non Fiction,1,13.0,4.4,4642.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,Fiction,1,4.0,4.6,1541.0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,Fiction,1,4.0,4.2,2094.0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,Fiction,1,8.0,4.3,1924.0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Fiction,4,5.0,4.8,10922.0
Decision Points,George W. Bush,Non Fiction,1,17.0,4.6,2137.0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,Non Fiction,1,15.0,4.6,1651.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,Non Fiction,2,105.0,4.5,6679.0
