year_month,conventional,organic
2015-01,1.008,1.458
2015-02,0.972,1.482
2015-03,1.016,1.496
2015-04,1.045,1.55
2015-05,1.022,1.492
2015-06,1.015,1.662
2015-07,1.062,1.0
2015-08,1.068,1.426
2015-09,1.025,1.775
2015-10,1.012,1.685
2015-11,0.962,1.52
2015-12,0.938,1.5
2016-01,0.922,1.412
2016-02,0.872,1.425
2016-03,0.938,1.32
2016-04,0.902,1.332
2016-05,0.884,1.36
2016-06,1.018,1.458
2016-07,1.148,1.568
2016-08,1.115,1.508
2016-09,1.122,1.605
2016-10,1.314,1.658
2016-11,1.32,1.662
2016-12,0.985,1.438
2017-01,0.952,1.43
2017-02,0.905,1.322
2017-03,1.21,1.332
2017-04,1.202,1.526
2017-05,1.205,1.63
2017-06,1.2,1.67
2017-07,1.268,1.754
2017-08,1.385,1.94
2017-09,1.58,2.007
2017-10,1.52,1.872
2017-11,1.188,1.78
2017-12,1.07,1.578
2018-01,1.125,1.585
2018-02,0.995,1.545
2018-03,1.06,1.532
