hour,member_casual,ride_count
0,casual,36762
0,member,31391
1,casual,23492
1,member,19107
2,casual,15667
2,member,11430
3,casual,8694
3,member,7520
4,casual,6941
4,member,8606
5,casual,11009
5,member,33525
6,casual,25696
6,member,99153
7,casual,47925
7,member,196413
8,casual,68010
8,member,252034
9,casual,68273
9,member,163882
10,casual,82449
10,member,141036
11,casual,105312
11,member,165364
12,casual,123711
12,member,186824
13,casual,126735
13,member,181968
14,casual,133239
14,member,184831
15,casual,148055
15,member,232972
16,casual,168789
16,member,328673
17,casual,183262
17,member,375149
18,casual,156921
18,member,290116
19,casual,116407
19,member,200336
20,casual,83803
20,member,138362
21,casual,71204
21,member,107972
22,casual,59981
22,member,78612
23,casual,43469
23,member,48926
