month,member_casual,ride_count,avg_ride_length_min
1,casual,23405,11.97
1,member,112331,9.98
2,casual,27003,12.38
2,member,122097,9.96
3,casual,82864,17.89
3,member,208458,11.13
4,casual,105260,18.66
4,member,257921,11.27
5,casual,175655,20.83
5,member,313996,11.9
6,casual,278702,21.91
6,member,379523,12.85
7,casual,308446,21.44
7,member,430394,13.15
8,casual,323533,21.71
8,member,443130,13.08
9,casual,254727,19.55
9,member,440954,12.62
10,casual,214380,18.09
10,member,414094,12.12
11,casual,94719,15.46
11,member,251924,11.68
12,casual,27112,12.93
12,member,109380,11.68
