genre,n_movies,n_with_roi,avg_roi,median_roi,avg_vote_average,avg_budget
Action,6590,1401,4.708517656542504,1.0253164556962024,5.7453481111458,36724551.716918714
Adventure,3490,950,5.809658235501726,1.294757525,5.872692307692308,51054332.83916084
Animation,1930,290,5.797855497547239,1.7669417765714286,6.44587546567323,46738843.2763466
Comedy,13176,1819,3.8354228002842907,1.1153846153846154,5.966038184266814,21569629.550215207
Crime,4304,851,3.860802531441188,0.89815084375,6.0972282477705475,21958440.709626094
Documentary,3930,56,15.361519186861074,1.4,6.652470930232558,1852941.607142857
Drama,20243,2545,3.9918705340792977,0.7533483833333333,6.171746425068401,16843139.93940851
Family,2767,527,4.416126006834704,1.4833333333333334,5.933768169959001,46620166.89151599
Fantasy,2309,508,4.977827053301139,1.13558333,5.9189464364763165,46828802.33743169
Foreign,1619,29,1.6114481422267344,0.09090909090909091,5.975546975546975,3427391.735042735
History,1398,234,12.360846874394895,0.7475745077227012,6.411028315946349,23214223.161458332
Horror,4670,583,39.6658931123141,1.4890288,5.311241574255273,9317246.340425532
Music,1597,189,4.984007694835815,1.4545454545454546,6.332164531355361,14742347.594059406
Mystery,2464,440,41.659530228129505,0.7518466241525423,5.95980881130507,22434132.08398134
Romance,6730,987,3.8184698898501543,1.1231594875,6.03120753551575,17474801.995302014
Science Fiction,3042,632,4.2970439283221085,1.00848121875,5.466644250168123,35329537.93206793
TV Movie,765,1,7.4,7.4,5.642253521126761,4722342.105263158
Thriller,7618,1488,5.208063104117818,0.9866576697115385,5.73350308228357,23343557.725820016
War,1322,201,3.8682472049190353,0.9572212909090909,6.283398898505114,24317698.93457944
Western,1042,89,3.2065499435312956,0.8040070666666667,5.709650053022269,22542123.59574468
